Gender,Age,Department,Department_code,Years_exp,Tenure (months),Gross
0,35,Tech,7,5.666666666666666,85,228917
0,32,Other,4,4.666666666666666,43,98594
0,41,Tech,7,7.666666666666666,131,360394
0,31,Tech,7,4.333333333333334,54,158382
0,30,Media,2,4.0,108,191108
0,35,Other,4,5.666666666666666,54,141472
0,32,Tech,7,4.666666666666666,108,267228
0,33,Other,4,5.0,51,145626
0,37,Other,4,6.333333333333334,18,257675
1,30,Product,5,4.0,52,129166
0,35,Other,4,5.666666666666666,95,261937
1,31,Other,4,4.333333333333334,10,179083
0,33,Other,4,5.0,95,211248
0,37,Product,5,6.333333333333334,167,499278
0,31,Tech,7,4.333333333333334,61,170314
0,32,Media,2,4.666666666666666,28,160981
1,41,Tech,7,7.666666666666666,80,106725
0,32,Other,4,4.666666666666666,70,147997
0,35,Operations,3,5.666666666666666,70,136232
0,32,Tech,7,4.666666666666666,96,232980
0,36,Sales,6,6.0,71,941642
0,30,Media,2,4.0,41,192043
1,34,Finance,1,5.333333333333334,47,172987
1,35,Tech,7,5.666666666666666,61,294719
0,30,Tech,7,4.0,21,114114
0,41,Engineering,0,7.666666666666666,25,476188
0,36,Other,4,6.0,95,236271
0,43,Engineering,0,8.333333333333334,40,533627
0,33,Media,2,5.0,83,261735
0,32,Operations,3,4.666666666666666,65,212520
0,37,Engineering,0,6.333333333333334,106,168397
0,44,Other,4,8.666666666666666,143,443238
0,37,Finance,1,6.333333333333334,110,185718
0,41,Other,4,7.666666666666666,134,185000
0,32,Tech,7,4.666666666666666,29,312273
0,32,Tech,7,4.666666666666666,118,143604
0,40,Other,4,7.333333333333334,125,373194
0,33,Media,2,5.0,125,264772
0,33,Other,4,5.0,54,112067
0,41,Other,4,7.666666666666666,13,279207
0,47,Media,2,9.666666666666666,39,261918
0,39,Other,4,7.0,98,92174
1,42,Finance,1,8.0,150,134700
1,32,Tech,7,4.666666666666666,39,268561
0,38,Tech,7,6.666666666666666,41,271099
0,34,Other,4,5.333333333333334,29,180820
0,42,Media,2,8.0,71,255455
0,42,Tech,7,8.0,59,456840
0,32,Tech,7,4.666666666666666,24,264418
0,29,Media,2,3.666666666666666,95,241999
0,34,Engineering,0,5.333333333333334,77,153087
0,33,Other,4,5.0,59,122833
0,33,Sales,6,5.0,35,183865
1,30,Finance,1,4.0,26,87122
1,29,Other,4,3.666666666666666,50,131185
1,27,Finance,1,3.0,10,81817
0,31,Media,2,4.333333333333334,28,209583
0,28,Operations,3,3.333333333333334,84,131898
0,39,Finance,1,7.0,88,208856
0,35,Other,4,5.666666666666666,49,155214
